LocalTime;CPUTemp
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:30;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:31;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:32;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:33;77
08/04/2025 05:34;77
08/04/2025 05:34;77
08/04/2025 05:34;77
08/04/2025 05:34;77
08/04/2025 05:34;77
08/04/2025 05:34;77
08/04/2025 05:34;77
08/04/2025 05:34;77
08/04/2025 05:34;77
08/04/2025 05:34;77
08/04/2025 05:34;77
08/04/2025 05:34;75
08/04/2025 05:35;71
08/04/2025 05:35;68
08/04/2025 05:35;64
08/04/2025 05:35;63
08/04/2025 05:35;62
08/04/2025 05:35;61
08/04/2025 05:35;60
08/04/2025 05:35;58
08/04/2025 05:35;57
08/04/2025 05:35;57
08/04/2025 05:35;56
08/04/2025 05:35;55
08/04/2025 05:36;54
08/04/2025 05:36;54
08/04/2025 05:36;53
08/04/2025 05:36;53
08/04/2025 05:36;52
08/04/2025 05:36;52
08/04/2025 05:36;51
08/04/2025 05:36;51
08/04/2025 05:36;50
08/04/2025 05:36;50
08/04/2025 05:36;50
08/04/2025 05:36;49
08/04/2025 05:37;49
08/04/2025 05:37;49
08/04/2025 05:37;48
08/04/2025 05:37;48
08/04/2025 05:37;48
08/04/2025 05:37;48
08/04/2025 05:37;47
08/04/2025 05:37;47
08/04/2025 05:37;47
08/04/2025 05:37;47
08/04/2025 05:37;46
08/04/2025 05:37;46
08/04/2025 05:38;46
08/04/2025 05:38;46
08/04/2025 05:38;46
08/04/2025 05:38;45
08/04/2025 05:38;45
08/04/2025 05:38;45
08/04/2025 05:38;45
08/04/2025 05:38;45
08/04/2025 05:38;45
08/04/2025 05:38;45
08/04/2025 05:38;44
08/04/2025 05:38;44
08/04/2025 05:39;44
08/04/2025 05:39;44
08/04/2025 05:39;44
08/04/2025 05:39;44
08/04/2025 05:39;44
08/04/2025 05:39;44
08/04/2025 05:39;44
